7923 5 5
9 5 10
514 820 65.3
6 9 10
7712 1698 4856
6 514 23.3
820 821 0.5
486 1356 5
3226 3604 280
7724 1698 2570
2127 499 50
7489 7956 2947
7963 6994 40.286
7491 7956 5111
7970 6994 100
7511 7956 3370
6217 7956 494
7979 6994 2
6 7980 890
7981 6994 156
6522 1933 100
7988 4027 110
6 1918 723
7991 4027 170
8002 1871 1
7987 5529 20
7925 5529 420
8039 1863 1
7800 7863 49.147
8060 7863 46
7963 7947 80
6 4756 370
6994 5740 12385
7979 7947 100
7858 1711 249
2328 3783 95
7882 7916 16.106
7849 8070 148
2509 7479 72
7808 8071 150
7815 6424 5913
7820 8073 100
7950 8070 148
7838 8073 3342
7950 8072 150
7981 8072 298
7820 6505 2648.743
1790 4035 2719
7240 1881 4868
4633 4642 35
7863 7916 600
6403 4027 728
8106 1871 41
8123 1871 166
37 7586 28
8153 5404 50
2264 8153 50
664 661 240
7963 7863 318
7975 7976 192
1888 1821 717.28
1888 8123 375
4604 5036 1486.005
7800 7916 327.507
3941 7860 400
7947 7976 80
8034 7863 225
2426 2421 692
1191 663 3020
659 4588 78.521
2483 3707 30.204
661 4604 90
4586 5036 3720
1593 664 1100
7665 3723 210
3035 3723 44
1871 1821 616.627
8029 8070 70
7862 6424 37.054
8040 8071 1559.123
3371 4034 2755
19 1134 19.032
6030 3911 17.01
4169 7262 10
1711 1700 410
5838 3941 1096.058
3941 5942 700
5028 5030 100
8213 4027 60
8098 1896 923
1821 4533 6074.744
8027 3148 79
8235 6 10
8234 1871 401
8245 4027 100
8250 4027 20
8246 8236 390
8124 4194 220
6 8264 10
8264 8235 10
3144 4034 136.861
8284 1871 1
3382 4034 580
3685 3706 5064
8289 6679 2
8324 8333 10
6426 7711 12
6096 5036 0.743
8097 8348 65.67
1871 1889 6638.078
7262 661 10
8196 7916 20
8002 6467 559
6679 4027 772.355
2359 2343 626.736
664 3140 250
3526 4533 5292
722 4037 5607
4764 4533 6310.19
1896 4533 5102.207
779 5524 885
6805 8306 50
722 759 200
759 4037 130
6501 6900 2152.797
6547 6900 1534
6403 6900 1107
3362 4533 3640
4027 7124 20
6480 6900 627
4063 6900 840
6426 6596 50
5038 5027 104
5027 5037 1404
8361 8324 10
8363 3940 5
3501 7015 96.902
4027 6900 13389.005
8025 7798 100
7898 7843 100
7916 7837 100
7863 7970 100
8388 8385 60
6199 6900 879
8385 8401 60
8090 5037 600
4376 6466 110
441 6466 80
1254 5524 24922.97
3396 8445 21
8445 7015 21
663 6582 690
19 6466 500
4028 4027 2374.428
598 51 230
1660 5529 11196
4167 2576 100
8477 5040 245
5956 7470 1975.192
7476 7485 53
6744 7485 2032
6752 7485 231
7493 7619 50
7741 6752 4137
8506 644 5
7430 7619 2450
7474 7619 86.102
8516 2040 90
6761 7619 94
8499 6994 2
8525 5740 55
8368 5037 1122
7654 1889 50
8502 7938 1
7654 1821 300
8542 6994 25
598 6817 155
5204 5205 245
658 1593 49740
5203 5205 82.472
8562 6 10
6900 644 3875.323
1889 7020 1685.057
6333 3382 247.328
1889 1821 980
4324 5036 145
661 7629 1485.563
8030 8018 2220
5842 6596 130
774 4036 1358
1700 3604 4703.075
7562 1698 748
5661 1698 1604
4848 5634 2776.16
1698 3604 36153.05
4690 5634 1180
3583 3604 599.377
5466 2044 8750
1708 3604 30
2280 3604 155
1698 2280 155
2942 3601 11810
3602 3222 400
3602 5902 400
3602 915 400
3602 5898 400
3602 5559 400
3602 7810 359.497
3602 4375 390
4703 1593 60
3602 6426 400
661 5902 50
3602 7735 400
3222 1593 30
3602 4703 400
7735 4533 200
3222 4036 75
5902 4036 450
1684 737 10
4375 4036 240
2345 1593 86
7793 1593 60
659 661 2700
659 1593 1480
6505 1899 1058.649
779 663 560
1191 1032 940
7479 7864 72
1032 7629 930
658 6403 140
658 1186 280
8284 4533 300
658 7265 140
658 4063 105
6700 4533 219.623
2353 1593 90
7711 4533 12
6642 4533 560
767 3602 100
70 598 50
3797 4033 170
4033 754 9800
1090 4033 851.685
1899 4725 4915
7927 7774 200
771 1593 50
5492 707 240
8360 1871 84.598
3395 7015 995
8568 6333 347.328
7457 6217 1417
4644 4648 40
4636 4648 30
5942 5838 700
3621 3723 319
8624 6297 5
8624 1805 5
3305 7674 718.507
8627 499 50
8628 8627 50
499 8628 50
5582 7674 2200
1913 7674 5590
7886 8013 13706.885
8018 8013 1360
3360 7205 14473.724
4334 7205 1878.116
7938 2040 306.876
7807 3708 1868.01
3832 3708 100.178
1515 3126 380
2353 7629 421.377
5 514 7595.651
5368 564 134
1593 7629 5637.823
4595 4586 894
8580 7941 440.46
6679 6547 374
4604 4594 40
1254 661 960
7447 6 54.762
1880 3723 4588.352
659 7629 8916.112
8737 8738 2
8738 8732 3
6996 3723 7858.648
7307 7289 299
4194 707 2205.901
3687 3723 815
4588 5036 5390.25
3687 3035 1117
6389 661 570
658 6493 200
3384 4034 130
6480 6485 2056
5524 663 3905
8018 8437 360
8742 3382 200
3390 3382 45.2
8624 1873 140
8609 3382 630
7869 1257 20
