5 8 113
9 8 10
9 5 12
1356 820 5
5 6 18
6 8 321.5
103 104 40
6 9 10
1356 5 4
7923 5 5
7922 1871 1
514 820 56
7921 1871 1
7921 3396 350
607 51 200
7922 3396 370
7924 7925 180
3381 7015 345
7832 4037 280
7712 1698 5
6 514 34
7430 6671 20
820 821 0.5
7724 1698 10
3226 3604 450
486 1356 5
7926 7932 400
7940 3381 50
7943 3381 40
7949 7869 400
7952 6994 4
7950 6994 2
7953 6994 2
7948 6994 2
2127 499 100
6798 7961 500
7962 6994 2
7964 6994 2
7963 6994 2
6 7674 4000
6798 7956 200
7489 7956 250
7961 7956 300
7457 7956 400
7491 7956 250
7968 6994 2
7969 6994 2
7351 7956 150
7970 6994 2
6217 7956 300
7511 7956 2600
7972 6994 2
7512 7956 50
7974 6994 152
7973 6994 102
7975 6994 2
7979 6994 2
7966 4027 400
6 7980 50
6 1918 100
7981 6994 2
7984 1862 5
7983 6994 2
7982 6994 2
7988 4027 400
7985 6994 2
7789 4037 210
6522 1933 100
5692 7015 100
3572 4036 480
7934 7936 5
7992 1844 5
7995 3687 2
7996 2254 5
7993 6994 250
3790 4361 750
8001 1851 5
8002 1871 1
7998 6994 2
8003 7995 2
8004 1871 1
4372 3790 100
8007 1871 1
3324 5492 50
8008 1871 1
8006 1925 5
7999 7015 400
8011 1871 1
7987 5529 220
8016 1897 5
8015 1871 1
8014 7015 400
7943 3448 360
7015 4034 4370
7940 3448 350
8017 1935 5
7924 5529 720
8012 3687 400
8019 1871 1
7925 5529 180
4652 4642 240
8021 1851 5
8022 1871 1
7172 7679 54
8024 1871 1
8010 6994 150
8028 3687 400
8023 6994 2
8027 1871 1
8026 4929 5
8033 3687 400
8032 1871 1
8036 2329 5
8037 1871 81
8040 6994 2
8039 1863 1
8044 3687 400
8046 1871 1
8048 1871 1
8049 1871 1
8051 1871 1
1933 3603 300
7992 3603 390
8050 8025 400
7947 8025 150
7996 3603 390
8054 1871 1
8053 1863 1
7984 3603 395
8031 8025 400
8034 8025 175
4562 4036 120
8001 3603 390
8045 8025 100
2328 3603 5400
8041 8025 350
8042 1871 1
8056 1871 1
7935 1871 1
8060 7863 50
7800 7863 50
5524 1254 490
8055 7863 50
8061 1871 1
8062 1871 1
7932 4038 560
4027 8047 2
7962 8025 250
8057 5004 400
7975 8025 90
3783 3603 750
8064 1871 1
7963 7947 80
7979 7947 100
6585 6698 100
8066 1871 1
7983 7982 200
7968 8025 398
6772 7674 50
