9 5 10
6 9 10
1356 5 21
7923 5 5
514 820 65.3
6 514 23.3
7430 6671 20
820 821 0.5
3226 3604 280
486 1356 5
7950 6994 2
2127 499 50
7963 6994 108
7489 7956 2759
7491 7956 400
7970 6994 100
7979 6994 2
6 7980 890
6 1918 723
7981 6994 156
7988 4027 110
6522 1933 100
7991 4027 85
8002 1871 1
7987 5529 20
7925 5529 325
8039 1863 1
7963 7947 80
7979 7947 100
6 4756 370
6994 5740 12385
2328 3783 95
7862 5740 100
7849 8070 148
2509 7479 72
7849 6424 150
7814 8072 40
7808 8071 150
7815 6424 5913
7820 8073 100
7820 6505 4548
7838 8073 3342
7843 8073 30
7950 8072 150
7950 8070 148
7981 8072 298
1790 4035 930
7240 1881 1395
4633 4642 5
7863 7916 600
6403 4027 142
8106 1871 41
8123 1871 166
2020 5036 95
8153 5404 50
2264 8153 50
664 661 240
7963 7863 318
7982 7898 246
7800 7916 123
4604 5036 1165
3941 7860 400
7947 7976 80
1191 663 3020
2426 2421 770
659 4588 225
661 4604 90
4586 5036 314
1593 664 1100
4542 2916 855
8029 8070 70
7862 6424 100
3371 4034 250
6030 3911 20
4169 7262 10
1711 1700 410
5838 3941 1392
5942 2942 297
3941 5942 997
5028 5030 350
7090 4038 60
8213 4027 60
8027 3148 114
8223 7586 50
8235 6 10
8234 1871 401
8245 4027 100
8250 4027 20
8246 8236 390
6 8264 10
8264 8235 10
8275 661 355
3144 4034 560
8284 1871 1
3382 4034 430
8302 8292 1500
3685 3706 4
8289 6679 2
8324 8333 10
6096 5036 234
7262 661 10
8097 8348 65.67
1871 1889 6609
8196 7916 13
8002 6467 559
3526 4533 5612
722 4037 7929
598 205 50
4764 4533 465.33
779 5524 885
6805 8306 50
759 4037 130
722 759 200
4027 7124 20
4063 6900 85
6485 6900 1206
6426 6596 50
5038 5027 200
5027 5037 1404
8361 8324 10
8363 3940 5
8025 7798 100
7898 7843 100
7916 7837 100
7863 7970 100
8388 8385 60
8385 8401 60
8090 5037 600
1254 5524 28583.1
3396 8445 21
8445 7015 21
4028 4027 1569
1660 5529 700
5956 7470 2420
8477 5040 245
7476 7485 100
6744 7485 540
7898 8025 3775
7493 7619 50
7430 7619 2450
8516 2040 128
8499 6994 2
8525 5740 55
7654 1889 50
8368 5037 1122
8502 7938 1
8542 6994 25
5204 5205 245
8550 3687 1
658 1593 49740
5203 5205 55
8562 6 8
6900 644 7076.21
6333 3382 250
4324 5036 145
8030 8018 1622
5842 6596 150
4848 5634 60
1698 3604 5757
2280 3604 155
1698 2280 155
2942 3601 10400
3602 3222 400
3602 5902 400
3602 915 400
3602 5559 396
3602 7810 400
3602 4375 390
4703 1593 60
3602 6426 400
661 5902 50
3602 7735 400
3222 1593 30
3222 4036 120
5902 4036 450
1684 737 10
4375 4036 240
659 661 2700
7457 4036 8
659 1593 1480
6505 1899 2000
779 663 560
1191 1032 940
7479 7864 72
1032 7629 930
658 6403 140
658 1186 280
658 7265 140
658 4063 105
2353 1593 90
6651 4533 400
6642 4533 560
767 3602 100
70 598 50
4033 754 9800
1090 4033 660
4730 5036 20
5492 707 240
2155 774 589
8360 1871 430
3395 7015 974
8568 6333 350
7457 6217 1417
3621 3723 490
5942 5838 700
8627 499 50
8628 8627 50
499 8628 50
1913 7674 583
8018 8013 1360
3360 7205 12499
4334 7205 1767
7938 2040 2166
7807 3708 50
1515 3126 39
5368 564 147
4595 4586 894
8580 7941 640
6679 6547 102
4604 4594 40
1254 661 960
7447 6 200
1880 3723 2773
8737 8738 2
8738 8732 3
6996 3723 8755
4617 5036 400
4194 707 1977
4588 5036 940
3687 3035 268
6389 661 570
3384 4034 130
6480 6485 2056
5524 663 3905
8018 8437 212
8742 3382 200
3390 3382 150
7869 1257 20
7876 8123 596
8360 1889 172
2513 2509 50
8610 3706 210
2564 1790 630
3637 4034 100
6920 8785 2
6920 8789 2
3098 4034 980
8789 8794 7
8798 8796 2
8799 8798 2
6920 8812 2
6920 8805 2
8345 4027 2
8791 8787 30
7015 8791 30
6920 8332 2
6920 8273 5
8785 8786 2
4842 7941 60
7664 8822 270
7811 8822 750
8540 1994 140
784 1608 40
1828 4533 3315.67
779 5584 512
5584 5524 112
